# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,OBFCTCJUKN,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,22,17
# x,y,z,u,w
5.621302629223805525e-01, -4.618527782440650996e-18, -1.192729372538482930e-03, 1.000000000000000000e+00, 0.000000000000000000e+00
5.126191896258889269e-01, 7.723860274294355865e-18, -1.015467770095223460e-02, 1.000000000000000000e+00, 1.688536248767197878e-01
4.381960856245883384e-01, -2.044153595248939247e-17, -1.681299465958374997e-02, 1.000000000000000000e+00, 4.296739212167498545e-01
3.371549959536624952e-01, -3.012790087046100981e-19, -2.052586698641116481e-02, 1.000000000000000000e+00, 7.825343274461838972e-01
2.258810337739544927e-01, -5.774720201484795785e-18, -2.191450098482083941e-02, 1.000000000000000000e+00, 1.170886583752794641e+00
1.280800128649299818e-01, -1.121276835392403785e-17, -2.176809523656858189e-02, 1.000000000000000000e+00, 1.512188741763303979e+00
5.773805643339070121e-02, 1.724909487882580297e-17, -2.061504320221071995e-02, 1.000000000000000000e+00, 1.757701869842767550e+00
1.427398606717821157e-02, 2.807159661224352411e-17, -1.709910409995937797e-02, 1.000000000000000000e+00, 1.910015230499295669e+00
6.154115840314239003e-06, 2.131628207280300371e-18, 4.438338334256318701e-04, 1.000000000000000000e+00, 2.000000000000000000e+00
1.310877942384152360e-02, -1.097555036060003571e-17, 2.096512850400192307e-02, 1.000000000000000000e+00, 2.089984769500704331e+00
5.262267207680329517e-02, -1.491595411463264523e-17, 4.136305189648157438e-02, 1.000000000000000000e+00, 2.242298130157232450e+00
1.224545438615156079e-01, -7.394129483088442719e-19, 5.783960541211529555e-02, 1.000000000000000000e+00, 2.487811258236695799e+00
2.220519883738415468e-01, 8.041003565821068301e-18, 5.541777792371046368e-02, 1.000000000000000000e+00, 2.829113416247205137e+00
3.336338645178877349e-01, -6.432078781103763031e-18, 3.336433483204755829e-02, 1.000000000000000000e+00, 3.217465672553815992e+00
4.354396853293041048e-01, -1.017087409773521072e-17, 1.561352755090459829e-02, 1.000000000000000000e+00, 3.570326078783250257e+00
5.111981719052451911e-01, 7.583731377428496584e-18, 5.849018244039078107e-03, 1.000000000000000000e+00, 3.831146375123280379e+00
5.621302629223805525e-01, -4.618527782440650996e-18, -1.192729372538482930e-03, 1.000000000000000000e+00, 4.000000000000000000e+00
5.612114265984474715e-01, 2.433655896271199118e-02, -1.179414835162459095e-03, 1.270406210695602223e+00, 0.000000000000000000e+00
5.121045133522031945e-01, 2.433655896270185692e-02, -1.006771378922140421e-02, 1.270406210695602223e+00, 1.688536248767197878e-01
4.382889924923871749e-01, 2.433655896268660523e-02, -1.667094998933246058e-02, 1.270406210695602223e+00, 4.296739212167498545e-01
3.380728439952988551e-01, 2.433655896266588570e-02, -2.035253390942780988e-02, 1.270406210695602223e+00, 7.825343274461838972e-01
2.277073944060946653e-01, 2.433655896264308102e-02, -2.172875775068917187e-02, 1.270406210695602223e+00, 1.170886583752794641e+00
1.307048974538897179e-01, 2.433655896262303803e-02, -2.158260491638330780e-02, 1.270406210695602223e+00, 1.512188741763303979e+00
6.093727781674870142e-02, 2.433655896260863982e-02, -2.043828943685042226e-02, 1.270406210695602223e+00, 1.757701869842767550e+00
1.782811533746016253e-02, 2.433655896259972334e-02, -1.695063832413809535e-02, 1.270406210695602223e+00, 1.910015230499295669e+00
3.676945949367254121e-03, 2.433655896259678819e-02, 4.492030881078388029e-04, 1.270406210695602223e+00, 2.000000000000000000e+00
1.667278912881101777e-02, 2.433655896259946314e-02, 2.080281990475671069e-02, 1.270406210695602223e+00, 2.089984769500704331e+00
5.586425662339220694e-02, 2.433655896260754348e-02, 4.103381822456211858e-02, 1.270406210695602223e+00, 2.242298130157232450e+00
1.251261262267685526e-01, 2.433655896262183760e-02, 5.737517157126149903e-02, 1.270406210695602223e+00, 2.487811258236695799e+00
2.239103574739149671e-01, 2.433655896264226917e-02, 5.497215793508713338e-02, 1.270406210695602223e+00, 2.829113416247205137e+00
3.345809810820361552e-01, 2.433655896266512936e-02, 3.309770080713624746e-02, 1.270406210695602223e+00, 3.217465672553815992e+00
4.355554100364235071e-01, 2.433655896268601890e-02, 1.549084369459323082e-02, 1.270406210695602223e+00, 3.570326078783250257e+00
